ahe,bachelor,female,age
34.62,1.00,0.00,30.00
19.23,1.00,1.00,30.00
13.74,0.00,1.00,30.00
19.23,1.00,1.00,30.00
19.23,1.00,0.00,25.00
38.46,1.00,1.00,32.00
33.65,1.00,0.00,33.00
9.62,0.00,0.00,32.00
8.00,0.00,1.00,30.00
19.23,0.00,0.00,30.00
9.13,0.00,1.00,27.00
19.23,1.00,1.00,32.00
23.08,1.00,1.00,31.00
13.46,0.00,0.00,26.00
15.38,1.00,1.00,33.00
9.62,0.00,1.00,33.00
26.15,1.00,0.00,29.00
17.44,1.00,1.00,28.00
8.41,0.00,1.00,31.00
8.13,0.00,0.00,34.00
26.44,1.00,0.00,29.00
6.22,0.00,1.00,30.00
13.94,1.00,1.00,27.00
5.77,0.00,0.00,29.00
48.08,1.00,0.00,33.00
28.85,1.00,1.00,27.00
9.62,0.00,0.00,25.00
12.60,1.00,1.00,26.00
13.50,0.00,0.00,29.00
14.42,1.00,1.00,33.00
21.15,0.00,0.00,33.00
23.08,1.00,0.00,31.00
2.34,1.00,0.00,32.00
12.98,1.00,0.00,30.00
47.16,1.00,0.00,33.00
4.18,0.00,0.00,33.00
18.75,1.00,0.00,30.00
13.94,0.00,0.00,26.00
14.42,1.00,0.00,32.00
24.04,1.00,1.00,30.00
19.23,1.00,0.00,30.00
17.71,1.00,1.00,26.00
42.79,1.00,0.00,27.00
15.00,1.00,0.00,26.00
7.69,0.00,0.00,32.00
28.85,1.00,1.00,27.00
15.87,0.00,1.00,25.00
8.17,0.00,0.00,25.00
17.31,1.00,0.00,34.00
18.03,1.00,1.00,34.00
11.54,1.00,0.00,33.00
28.85,0.00,0.00,33.00
11.54,0.00,0.00,30.00
9.13,0.00,1.00,27.00
13.46,0.00,1.00,32.00
15.87,1.00,0.00,31.00
14.62,1.00,0.00,28.00
25.00,0.00,0.00,32.00
11.23,0.00,0.00,26.00
10.10,1.00,0.00,32.00
12.50,1.00,0.00,34.00
11.11,1.00,1.00,28.00
16.83,0.00,0.00,30.00
31.73,1.00,1.00,31.00
24.29,1.00,1.00,29.00
8.80,0.00,0.00,33.00
13.94,0.00,1.00,32.00
10.26,1.00,1.00,30.00
6.25,0.00,1.00,34.00
14.42,1.00,1.00,25.00
6.73,1.00,1.00,33.00
15.77,0.00,0.00,31.00
17.98,0.00,0.00,25.00
14.42,0.00,0.00,30.00
12.02,0.00,0.00,25.00
20.58,0.00,0.00,34.00
18.75,0.00,1.00,32.00
19.23,0.00,0.00,28.00
48.08,1.00,1.00,28.00
2.88,0.00,0.00,28.00
9.62,0.00,0.00,33.00
11.97,1.00,0.00,31.00
19.23,0.00,0.00,32.00
14.42,1.00,1.00,27.00
15.38,0.00,0.00,28.00
15.69,1.00,0.00,28.00
9.62,0.00,0.00,31.00
20.75,0.00,1.00,33.00
24.29,0.00,0.00,31.00
15.47,1.00,1.00,25.00
21.98,1.00,1.00,29.00
15.38,0.00,1.00,33.00
32.05,1.00,1.00,34.00
17.31,1.00,0.00,29.00
5.77,1.00,1.00,30.00
12.50,1.00,0.00,31.00
23.08,1.00,0.00,33.00
21.63,1.00,1.00,26.00
20.19,1.00,0.00,27.00
17.79,0.00,0.00,30.00
18.27,1.00,0.00,25.00
19.23,0.00,0.00,29.00
12.50,0.00,1.00,33.00
20.67,0.00,1.00,32.00
26.44,0.00,0.00,34.00
13.46,0.00,0.00,34.00
37.69,0.00,0.00,34.00
18.75,0.00,0.00,28.00
16.20,0.00,1.00,25.00
23.56,1.00,1.00,34.00
19.71,1.00,1.00,33.00
21.15,0.00,0.00,34.00
27.40,1.00,0.00,31.00
21.37,1.00,1.00,31.00
14.42,0.00,1.00,32.00
13.25,0.00,0.00,31.00
3.21,0.00,1.00,26.00
13.22,1.00,1.00,33.00
8.01,1.00,0.00,27.00
15.38,1.00,1.00,27.00
7.50,0.00,0.00,32.00
8.00,0.00,0.00,31.00
13.46,0.00,1.00,32.00
12.98,1.00,0.00,27.00
18.75,1.00,0.00,30.00
28.85,0.00,0.00,26.00
10.58,1.00,1.00,29.00
17.03,1.00,1.00,29.00
10.42,0.00,0.00,26.00
13.74,1.00,0.00,34.00
16.59,0.00,0.00,32.00
11.54,1.00,0.00,32.00
25.00,1.00,0.00,27.00
16.88,1.00,1.00,26.00
14.42,1.00,1.00,27.00
6.73,1.00,1.00,25.00
14.42,1.00,1.00,26.00
13.70,1.00,1.00,27.00
18.46,1.00,0.00,25.00
14.23,1.00,0.00,25.00
28.89,1.00,1.00,34.00
28.85,1.00,1.00,28.00
20.19,0.00,0.00,33.00
12.50,0.00,0.00,25.00
23.50,1.00,0.00,34.00
12.98,0.00,0.00,28.00
23.85,1.00,1.00,33.00
17.14,0.00,1.00,27.00
14.42,0.00,0.00,30.00
14.42,1.00,0.00,30.00
10.44,1.00,1.00,33.00
6.73,1.00,0.00,33.00
25.96,1.00,0.00,33.00
28.37,1.00,1.00,32.00
7.50,0.00,1.00,32.00
17.95,1.00,0.00,25.00
7.21,0.00,1.00,26.00
22.12,0.00,0.00,30.00
22.12,1.00,0.00,28.00
25.27,1.00,0.00,31.00
19.23,0.00,1.00,32.00
20.60,0.00,1.00,26.00
26.92,1.00,0.00,27.00
7.69,0.00,0.00,34.00
36.06,1.00,0.00,34.00
9.50,0.00,0.00,33.00
27.78,0.00,1.00,29.00
21.55,1.00,0.00,25.00
4.38,0.00,1.00,32.00
14.29,1.00,0.00,32.00
10.26,1.00,1.00,27.00
14.42,1.00,0.00,26.00
21.63,1.00,0.00,30.00
10.99,1.00,0.00,30.00
9.13,1.00,1.00,26.00
14.42,1.00,1.00,30.00
14.01,1.00,0.00,28.00
11.54,0.00,0.00,34.00
18.32,0.00,0.00,33.00
36.06,1.00,1.00,31.00
12.98,0.00,0.00,29.00
5.77,0.00,0.00,26.00
17.97,0.00,0.00,28.00
8.98,1.00,1.00,33.00
8.65,0.00,0.00,29.00
13.85,0.00,1.00,34.00
18.75,0.00,0.00,34.00
21.88,1.00,0.00,28.00
19.23,0.00,0.00,34.00
10.58,0.00,1.00,33.00
18.46,1.00,0.00,31.00
12.02,0.00,0.00,34.00
9.62,1.00,1.00,32.00
5.50,0.00,0.00,32.00
28.80,1.00,0.00,26.00
12.50,0.00,1.00,29.00
14.19,1.00,1.00,30.00
2.50,0.00,1.00,32.00
12.50,0.00,0.00,31.00
21.63,1.00,1.00,30.00
10.10,0.00,1.00,34.00
6.73,0.00,1.00,30.00
12.82,0.00,0.00,32.00
14.42,1.00,1.00,34.00
10.10,0.00,1.00,28.00
27.78,1.00,0.00,27.00
12.02,0.00,1.00,29.00
18.72,1.00,1.00,25.00
14.42,0.00,0.00,25.00
19.23,1.00,0.00,27.00
8.24,1.00,1.00,26.00
14.42,0.00,0.00,34.00
20.67,1.00,0.00,34.00
38.46,1.00,0.00,34.00
9.62,0.00,0.00,29.00
8.17,1.00,0.00,28.00
16.11,0.00,1.00,34.00
14.85,0.00,0.00,27.00
43.59,1.00,0.00,32.00
27.47,1.00,0.00,27.00
11.10,0.00,1.00,33.00
21.63,1.00,0.00,32.00
16.35,0.00,0.00,31.00
28.85,0.00,1.00,28.00
22.02,1.00,0.00,33.00
10.58,0.00,0.00,27.00
43.27,0.00,1.00,27.00
